12.7184 	9.05676 	A 	16.88 	14.722 	B 	17.3621 	15.2589 	C 	
17.2481 	10.954 	A 	13.6442 	14.8545 	B 	19.6599 	9.40064 	C 	
17.4742 	11.7561 	A 	21.7564 	15.3141 	B 	24.1309 	17.6814 	C 	
13.4556 	8.07721 	A 	8.01255 	15.0112 	B 	19.0395 	9.91533 	C 	
15.1302 	12.3558 	A 	18.2731 	19.2461 	B 	18.4301 	12.3318 	C 	
13.101 	9.95611 	A 	13.9122 	22.5061 	B 	19.7257 	8.81234 	C 	
15.6111 	11.2814 	A 	18.8415 	14.751 	B 	23.0652 	8.86801 	C 	
11.2941 	8.37067 	A 	18.4838 	19.406 	B 	21.5255 	14.1243 	C 	
14.7364 	11.4676 	A 	19.9393 	14.9761 	B 	18.3488 	6.75539 	C 	
15.7286 	11.8004 	A 	17.2964 	25.2612 	B 	21.3091 	15.6 	C 	
13.9698 	10.3084 	A 	17.8536 	18.6009 	B 	20.7923 	10.8129 	C 	
15.6801 	6.04082 	A 	21.2275 	16.1396 	B 	16.9813 	10.8575 	C 	
15.521 	13.2772 	A 	19.5736 	15.3486 	B 	18.9608 	14.5922 	C 	
12.4469 	9.75686 	A 	16.177 	13.2592 	B 	16.1942 	11.4306 	C 	
14.2591 	8.31563 	A 	18.8399 	17.6391 	B 	18.5734 	11.7821 	C 	
17.523 	9.73447 	A 	19.184 	15.2491 	B 	24.7272 	12.356 	C 	
16.0388 	7.52945 	A 	19.5351 	16.7859 	B 	19.4161 	13.0998 	C 	
16.2755 	10.9371 	A 	14.6084 	11.302 	B 	21.3996 	12.706 	C 	
14.424 	11.4302 	A 	18.1001 	12.6561 	B 	17.3326 	8.81512 	C 	
13.801 	11.994 	A 	17.1788 	14.8062 	B 	19.4819 	11.1828 	C 	
16.5943 	11.757 	A 	14.9159 	17.7314 	B 	17.5428 	10.4451 	C 	
12.9614 	10.0394 	A 	17.1914 	17.5906 	B 	17.9011 	9.24587 	C 	
14.2422 	11.5486 	A 	17.3605 	14.9665 	B 	24.3281 	11.5591 	C 	
11.8172 	11.2712 	A 	20.606 	17.4952 	B 	17.2251 	14.4368 	C 	
15.0089 	14.7421 	A 	23.2143 	15.7302 	B 	22.0292 	12.5118 	C 	
15.7746 	10.6827 	A 	17.0097 	13.1 	B 	19.8455 	13.0105 	C 	
16.0557 	12.7541 	A 	16.1619 	13.6292 	B 	25.2589 	14.9807 	C 	
18.2484 	10.4572 	A 	18.8828 	17.0415 	B 	22.1994 	13.902 	C 	
13.4422 	13.3497 	A 	13.9263 	18.0459 	B 	21.0325 	15.0728 	C 	
14.5352 	10.655 	A 	15.3045 	13.4247 	B 	20.7328 	11.4874 	C 	
17.761 	10.5488 	A 	19.5259 	23.8053 	B 	22.2378 	10.6419 	C 	
15.8182 	7.98338 	A 	17.9684 	20.9659 	B 	21.9791 	11.1218 	C 	
17.5069 	12.0088 	A 	20.6187 	15.5462 	B 	19.1722 	11.2305 	C 	
10.8628 	10.2189 	A 	13.7839 	20.8656 	B 	18.2344 	16.0692 	C 	
13.417 	9.9491 	A 	14.4982 	15.8097 	B 	20.2067 	10.7026 	C 	
15.6503 	4.53802 	A 	17.6579 	13.4685 	B 	19.7333 	13.9921 	C 	
14.2917 	10.1972 	A 	19.6666 	23.0645 	B 	27.293 	9.2156 	C 	
17.5373 	9.35696 	A 	21.8907 	18.3976 	B 	23.1935 	9.46431 	C 	
10.7879 	5.29457 	A 	22.8646 	18.8096 	B 	17.5375 	10.9834 	C 	
14.1533 	8.23345 	A 	18.849 	14.7301 	B 	21.1683 	7.43485 	C 	
18.4226 	5.99499 	A 	19.8394 	17.5504 	B 	17.673 	13.5865 	C 	
14.1993 	11.0527 	A 	18.9312 	14.611 	B 	19.0621 	11.4168 	C 	
16.8425 	6.25556 	A 	14.1764 	14.5938 	B 	18.829 	7.30394 	C 	
16.0646 	12.1304 	A 	17.7817 	16.719 	B 	24.6947 	9.94993 	C 	
13.2416 	11.0644 	A 	14.1944 	21.786 	B 	23.7624 	6.34067 	C 	
13.8077 	10.2119 	A 	12.8777 	17.1365 	B 	20.3977 	9.50891 	C 	
12.3113 	11.8299 	A 	20.7277 	18.0515 	B 	19.6278 	9.80285 	C 	
15.5383 	11.0166 	A 	25.2777 	15.9712 	B 	24.0419 	10.6872 	C 	
16.848 	11.9929 	A 	14.7227 	20.8535 	B 	15.9676 	10.2732 	C 	
14.3595 	11.3356 	A 	18.5358 	18.0253 	B 	15.2509 	15.0755 	C 	
14.5532 	11.012 	A 	16.9187 	17.4493 	B 	21.5818 	10.5152 	C 	
14.9939 	9.13775 	A 	21.7088 	17.8026 	B 	14.4624 	12.9918 	C 	
14.0364 	7.65859 	A 	18.638 	17.3036 	B 	18.7989 	13.4349 	C 	
17.2925 	11.9158 	A 	19.6258 	16.5395 	B 	21.9108 	10.8683 	C 	
14.0548 	8.40909 	A 	16.8245 	20.4504 	B 	19.2506 	7.20987 	C 	
14.518 	8.15084 	A 	17.9413 	15.1674 	B 	17.799 	14.0977 	C 	
17.5388 	9.64539 	A 	16.5515 	15.4893 	B 	18.9704 	16.7184 	C 	
12.6576 	8.78395 	A 	17.5386 	15.4141 	B 	21.7907 	14.1153 	C 	
15.2631 	11.6921 	A 	15.9652 	22.4553 	B 	23.7049 	12.7732 	C 	
16.4939 	7.52167 	A 	19.7713 	15.9783 	B 	19.448 	8.83579 	C 	
17.5286 	10.1567 	A 	16.6867 	18.8876 	B 	20.7094 	8.6239 	C 	
13.8099 	9.25378 	A 	21.0298 	18.4004 	B 	21.0925 	10.5238 	C 	
11.7988 	6.68431 	A 	14.0486 	17.4474 	B 	22.284 	9.87358 	C 	
14.7346 	10.3749 	A 	17.8933 	21.0449 	B 	16.6661 	12.1265 	C 	
16.9259 	11.7102 	A 	19.8873 	19.9348 	B 	22.4347 	13.6195 	C 	
13.7583 	10.0251 	A 	21.347 	19.1864 	B 	18.85 	13.7104 	C 	
17.0528 	9.9345 	A 	19.3073 	22.7924 	B 	20.2163 	12.1355 	C 	
16.4365 	9.0386 	A 	14.7494 	17.9803 	B 	23.9407 	15.518 	C 	
10.8802 	11.9278 	A 	18.0228 	21.5564 	B 	22.7408 	9.9708 	C 	
17.1183 	11.0959 	A 	24.2306 	23.8174 	B 	22.2891 	11.4126 	C 	
15.45 	7.84979 	A 	15.6725 	18.2538 	B 	24.3593 	9.23582 	C 	
13.7858 	8.00371 	A 	15.7365 	13.8262 	B 	21.3215 	8.04915 	C 	
15.8255 	9.60522 	A 	19.7134 	16.2716 	B 	20.4404 	8.85142 	C 	
12.6232 	14.2481 	A 	14.9766 	17.6613 	B 	19.3203 	17.3457 	C 	
11.4869 	9.09481 	A 	16.5236 	20.4592 	B 	22.0583 	10.2833 	C 	
16.586 	10.6628 	A 	20.0805 	13.0723 	B 	18.7689 	14.6426 	C 	
15.8969 	10.4858 	A 	20.8215 	24.6232 	B 	15.4388 	9.23328 	C 	
15.7299 	9.57705 	A 	13.1804 	16.3383 	B 	23.2036 	12.8807 	C 	
15.6194 	8.94751 	A 	18.0094 	13.9407 	B 	19.7896 	10.135 	C 	
15.9164 	7.61238 	A 	18.9019 	17.6684 	B 	17.398 	14.6159 	C 	
17.8281 	9.97674 	A 	13.5947 	23.3579 	B 	19.9249 	15.003 	C 	
18.2295 	13.3474 	A 	17.6338 	21.0086 	B 	20.955 	9.96051 	C 	
15.1967 	7.34059 	A 	17.659 	19.6356 	B 	19.9499 	12.0401 	C 	
16.2026 	9.32695 	A 	21.2456 	19.6901 	B 	20.0381 	12.5442 	C 	
15.377 	8.42537 	A 	19.9996 	11.9727 	B 	22.5025 	10.9021 	C 	
18.2621 	3.9843 	A 	18.9227 	19.9709 	B 	21.1681 	10.4355 	C 	
17.0759 	10.6294 	A 	19.648 	18.1874 	B 	18.9317 	10.2854 	C 	
15.732 	10.2554 	A 	21.6464 	16.6562 	B 	20.599 	8.90347 	C 	
14.0914 	8.50779 	A 	24.7136 	21.3016 	B 	15.8826 	12.5074 	C 	
17.0253 	8.11464 	A 	17.2772 	12.7169 	B 	20.1007 	11.0116 	C 	
14.0102 	10.791 	A 	16.6156 	17.0592 	B 	16.8999 	11.4953 	C 	
13.7792 	11.4162 	A 	19.3179 	15.0454 	B 	20.641 	8.46065 	C 	
12.5165 	14.0437 	A 	17.0246 	16.2322 	B 	17.4153 	15.0125 	C 	
15.362 	6.97275 	A 	16.6381 	19.5618 	B 	13.9048 	11.0484 	C 	
15.0671 	8.43609 	A 	19.5782 	17.9665 	B 	21.6535 	8.83173 	C 	
15.446 	12.2168 	A 	24.3255 	22.247 	B 	20.2222 	14.3014 	C 	
17.4871 	11.5602 	A 	17.0919 	14.5859 	B 	23.3308 	13.2925 	C 	
15.4073 	11.4591 	A 	14.2897 	18.9969 	B 	20.7936 	17.4656 	C 	
15.8648 	11.0401 	A 	15.2957 	18.1073 	B 	17.9923 	10.7936 	C 	
16.1392 	9.38858 	A 	16.6743 	13.7812 	B 	21.3035 	11.9945 	C 	
14.2254 	13.3888 	A 	20.6773 	18.1959 	B 	20.69 	8.85948 	C 	
15.9977 	9.14788 	A 	22.4672 	20.2129 	B 	21.767 	6.87733 	C 	
14.3521 	11.6416 	A 	20.3622 	18.168 	B 	16.1597 	9.93771 	C 	
14.3263 	8.39475 	A 	14.2184 	19.9807 	B 	21.5007 	11.3478 	C 	
15.6525 	3.58188 	A 	16.6836 	14.7056 	B 	20.5782 	7.24724 	C 	
14.0257 	9.04132 	A 	23.8785 	12.3147 	B 	20.4886 	15.9541 	C 	
12.6799 	8.20974 	A 	14.7655 	14.4364 	B 	19.3085 	16.2132 	C 	
14.8003 	7.19228 	A 	19.1812 	15.693 	B 	19.1705 	10.1107 	C 	
17.0047 	7.81911 	A 	20.9333 	16.4858 	B 	16.491 	11.9375 	C 	
14.5359 	11.008 	A 	18.2529 	17.6645 	B 	22.1388 	17.332 	C 	
17.3446 	10.0794 	A 	14.2318 	19.0322 	B 	22.8247 	10.8825 	C 	
14.4958 	12.1158 	A 	12.4828 	19.4343 	B 	22.2148 	13.2275 	C 	
15.9832 	12.1051 	A 	20.1972 	15.4229 	B 	18.235 	12.8002 	C 	
12.7513 	9.53053 	A 	14.7325 	15.4852 	B 	19.1682 	15.1408 	C 	
14.2532 	11.544 	A 	18.5636 	14.9049 	B 	18.016 	7.50344 	C 	
14.9273 	11.9541 	A 	20.3479 	17.0485 	B 	18.2007 	12.4364 	C 	
15.9569 	15.029 	A 	20.4376 	16.3072 	B 	23.2103 	12.6327 	C 	
14.9094 	8.65485 	A 	22.5787 	19.8717 	B 	18.6388 	12.1737 	C 	
20.8438 	9.06369 	A 	15.5614 	17.158 	B 	17.756 	8.52723 	C 	
14.126 	9.01182 	A 	17.8292 	15.6689 	B 	21.1844 	13.4222 	C 	
18.2976 	10.458 	A 	22.8237 	18.2244 	B 	21.9396 	12.4481 	C 	
17.4005 	10.0713 	A 	20.5033 	19.5039 	B 	21.7288 	13.5282 	C 	
12.9713 	8.08175 	A 	17.5013 	15.2665 	B 	19.78 	15.8993 	C 	
13.3577 	6.86478 	A 	23.2875 	14.2378 	B 	21.6004 	9.43379 	C 	
14.7831 	9.02569 	A 	16.4119 	18.7065 	B 	24.6277 	12.6613 	C 	
15.2797 	7.28416 	A 	14.6568 	18.072 	B 	16.1647 	14.912 	C 	
15.8155 	7.94973 	A 	19.7662 	19.5087 	B 	21.0849 	14.4314 	C 	
14.1416 	13.5002 	A 	20.4041 	17.8114 	B 	20.6404 	12.8009 	C 	
14.0356 	11.2701 	A 	16.9999 	16.9427 	B 	21.5244 	10.924 	C 	
16.6735 	10.7419 	A 	18.2982 	10.46 	B 	18.6881 	13.872 	C 	
15.538 	8.61295 	A 	18.1002 	18.8163 	B 	23.2711 	11.5772 	C 	
14.9587 	9.30898 	A 	16.3285 	22.058 	B 	17.1814 	15.8677 	C 	
12.4312 	10.3918 	A 	17.4701 	14.7411 	B 	22.0418 	12.946 	C 	
17.2337 	13.3958 	A 	21.7145 	15.9963 	B 	21.0785 	13.2109 	C 	
15.6525 	11.6286 	A 	21.9413 	7.74932 	B 	22.281 	12.4761 	C 	
16.8112 	11.5663 	A 	16.9312 	15.0914 	B 	16.8283 	10.7482 	C 	
16.9538 	11.8147 	A 	16.308 	21.4875 	B 	18.5829 	10.1629 	C 	
17.0329 	9.3263 	A 	20.8554 	20.1248 	B 	20.0486 	15.309 	C 	
16.3316 	8.38332 	A 	14.7016 	16.7204 	B 	19.4672 	10.9922 	C 	
17.2632 	10.6745 	A 	17.2122 	14.9186 	B 	20.9738 	15.4092 	C 	
17.2182 	12.8542 	A 	21.1148 	15.7903 	B 	15.4634 	11.4985 	C 	
14.1315 	7.40066 	A 	22.3445 	17.6724 	B 	24.4812 	10.1603 	C 	
12.5059 	11.3992 	A 	15.5385 	19.5512 	B 	16.8473 	10.3534 	C 	
16.4085 	10.6492 	A 	21.4536 	17.4011 	B 	16.8785 	12.6566 	C 	
17.0916 	8.26294 	A 	18.6887 	17.3657 	B 	18.368 	8.47393 	C 	
14.1101 	12.9356 	A 	19.4742 	14.9725 	B 	21.6413 	16.6423 	C 	
15.5384 	7.97715 	A 	17.1385 	18.1721 	B 	21.5466 	9.68487 	C 	
14.7191 	7.1504 	A 	14.904 	14.342 	B 	19.8604 	9.07288 	C 	
17.0146 	9.30856 	A 	18.8475 	15.5012 	B 	20.23 	17.6421 	C 	
15.4579 	13.4573 	A 	23.0534 	17.2585 	B 	20.9796 	15.6936 	C 	
19.0528 	13.6783 	A 	19.7402 	22.5325 	B 	17.6913 	11.4103 	C 	
13.2327 	7.67246 	A 	14.6662 	18.9761 	B 	19.1246 	14.3265 	C 	
14.7008 	9.3807 	A 	15.873 	12.878 	B 	21.1624 	11.5601 	C 	
18.6711 	10.4706 	A 	16.7584 	17.6928 	B 	22.4043 	16.771 	C 	
15.6523 	5.3748 	A 	21.6529 	19.361 	B 	17.4351 	16.4487 	C 	
13.9063 	9.04036 	A 	18.3497 	16.2766 	B 	22.2605 	13.2763 	C 	
12.1457 	7.91665 	A 	17.6536 	24.4866 	B 	19.5416 	13.376 	C 	
9.7336 	10.4254 	A 	13.5653 	14.6764 	B 	21.2592 	13.5163 	C 	
16.1818 	7.44335 	A 	21.9642 	14.1771 	B 	22.5111 	19.1846 	C 	
14.7862 	12.2496 	A 	18.4567 	18.2188 	B 	20.6767 	12.2401 	C 	
12.8835 	11.2704 	A 	20.6896 	13.5757 	B 	23.1459 	13.0547 	C 	
14.187 	13.0367 	A 	21.7521 	16.402 	B 	19.5552 	15.2551 	C 	
16.6327 	11.2516 	A 	18.8772 	16.1233 	B 	21.2914 	14.0676 	C 	
9.98284 	8.71968 	A 	17.1777 	13.1797 	B 	21.6452 	14.7839 	C 	
13.2564 	4.65772 	A 	14.0259 	16.8082 	B 	19.8523 	13.1204 	C 	
16.9488 	10.4065 	A 	20.0586 	16.9152 	B 	18.5579 	13.8657 	C 	
15.5792 	7.58639 	A 	20.1866 	14.8862 	B 	18.8566 	13.4023 	C 	
13.3584 	7.16521 	A 	9.60138 	17.6252 	B 	18.2621 	10.0027 	C 	
13.895 	9.10705 	A 	18.9978 	9.87543 	B 	16.7914 	7.32087 	C 	
13.3366 	7.32252 	A 	10.6905 	17.6309 	B 	18.7144 	10.8863 	C 	
16.8329 	8.32766 	A 	19.7963 	17.5016 	B 	18.6381 	12.5324 	C 	
15.1562 	6.46892 	A 	12.7106 	17.5233 	B 	19.3813 	11.3746 	C 	
14.5702 	9.69722 	A 	20.9005 	18.3993 	B 	22.1787 	11.8095 	C 	
13.9783 	12.7702 	A 	18.1531 	20.3667 	B 	20.4689 	10.4332 	C 	
13.9296 	15.1053 	A 	12.4815 	19.36 	B 	21.7389 	14.5807 	C 	
15.3195 	10.1449 	A 	15.7021 	11.9009 	B 	19.958 	7.66156 	C 	
15.569 	7.83151 	A 	19.7002 	22.2824 	B 	18.0626 	11.9556 	C 	
14.4105 	7.17093 	A 	21.1861 	12.6154 	B 	22.552 	6.44561 	C 	
16.2538 	9.33531 	A 	16.161 	9.60024 	B 	20.9776 	11.5391 	C 	
15.1952 	6.47167 	A 	12.9647 	23.0189 	B 	17.6047 	12.1539 	C 	
15.8105 	9.02441 	A 	18.1165 	13.7886 	B 	21.0544 	11.5919 	C 	
14.8143 	7.76765 	A 	20.3529 	15.2787 	B 	18.0689 	11.4463 	C 	
13.6628 	10.5177 	A 	11.9504 	14.3998 	B 	21.5884 	13.38 	C 	
12.8577 	9.34901 	A 	20.2842 	16.2788 	B 	18.2132 	8.59717 	C 	
12.8024 	6.65359 	A 	19.0199 	19.4583 	B 	19.6912 	14.0777 	C 	
16.3673 	12.1104 	A 	15.7586 	15.8282 	B 	19.1655 	13.2575 	C 	
19.2879 	11.7228 	A 	16.2289 	19.2923 	B 	22.693 	12.9443 	C 	
12.9914 	7.07049 	A 	16.0457 	19.9618 	B 	19.6923 	10.8217 	C 	
14.4835 	11.1995 	A 	22.3055 	14.594 	B 	22.6281 	9.85644 	C 	
11.8673 	9.79025 	A 	21.8509 	18.885 	B 	18.026 	13.1065 	C 	
13.0997 	8.6761 	A 	21.6803 	13.9905 	B 	19.8319 	14.0158 	C 	
9.13534 	6.31836 	A 	20.358 	17.4163 	B 	19.4184 	11.75 	C 	
17.0991 	9.4951 	A 	22.4529 	12.5223 	B 	23.1192 	12.7391 	C 	
13.7767 	8.63452 	A 	17.4237 	18.4172 	B 	20.5276 	11.4279 	C 	
13.7228 	10.615 	A 	21.5737 	18.2122 	B 	17.5118 	11.952 	C 	
15.9207 	10.0571 	A 	17.3963 	15.5119 	B 	18.4628 	9.15078 	C 	
12.7874 	10.9171 	A 	18.6379 	17.6607 	B 	17.7338 	10.7539 	C 	
15.3761 	10.49 	A 	24.2853 	17.5983 	B 	17.2244 	13.5144 	C 	
13.3649 	10.2729 	A 	15.4676 	13.1142 	B 	14.8699 	9.49206 	C 	
14.9254 	10.8916 	A 	13.7108 	18.6233 	B 	21.7416 	16.8819 	C 	
12.8293 	10.4715 	A 	26.3052 	18.8398 	B 	21.0547 	13.2315 	C 	
11.1916 	7.41941 	A 	17.206 	20.9732 	B 	18.3421 	9.66026 	C 	
16.4372 	7.46356 	A 	21.3499 	20.2957 	B 	22.8732 	14.0657 	C 	
14.941 	12.9376 	A 	18.9641 	13.9017 	B 	18.1925 	17.673 	C 	
13.097 	10.2202 	A 	14.9787 	17.5878 	B 	21.1264 	14.6246 	C 	
17.9581 	9.54933 	A 	16.4998 	16.2865 	B 	20.0212 	9.99751 	C 	
15.7137 	10.6297 	A 	18.46 	15.9567 	B 	19.1839 	11.4124 	C 	
12.9595 	7.14378 	A 	20.4772 	16.7596 	B 	19.5286 	14.4263 	C 	
13.6656 	9.71042 	A 	21.2156 	15.4254 	B 	17.956 	9.23724 	C 	
18.0016 	9.25809 	A 	20.4933 	15.513 	B 	19.5731 	11.2667 	C 	
11.3722 	10.18 	A 	19.4516 	14.9859 	B 	21.5386 	11.0704 	C 	
16.1247 	12.2387 	A 	18.1044 	14.1256 	B 	23.9117 	14.1348 	C 	
13.7489 	8.67328 	A 	16.0279 	13.2706 	B 	19.0447 	12.5233 	C 	
15.1904 	11.6284 	A 	19.7085 	16.4209 	B 	21.0875 	13.2871 	C 	
12.6495 	10.3915 	A 	16.851 	16.5045 	B 	23.8062 	8.46757 	C 	
16.4922 	10.4901 	A 	14.9216 	14.3977 	B 	19.1538 	16.8451 	C 	
12.529 	8.14327 	A 	17.9743 	19.1864 	B 	19.7825 	14.1717 	C 	
12.0306 	10.3956 	A 	19.5177 	21.3509 	B 	21.3851 	16.5747 	C 	
13.7545 	10.4762 	A 	16.2475 	20.3573 	B 	17.2883 	8.08261 	C 	
12.4454 	8.92631 	A 	21.7627 	16.1411 	B 	20.715 	12.7116 	C 	
14.7372 	10.9433 	A 	15.5103 	9.56304 	B 	20.8295 	8.41543 	C 	
15.0084 	9.69288 	A 	18.9474 	18.1067 	B 	21.3441 	11.6428 	C 	
21.0473 	10.2084 	A 	15.1681 	24.6407 	B 	20.8189 	5.69539 	C 	
16.1205 	10.8605 	A 	13.5709 	15.4807 	B 	14.7444 	14.544 	C 	
